city_us,city_ascii,lat_us,lng_us,country_us,iso2_us,iso3_us,admin_name_us,capital_us,population_us,id_us,city_foreign,lat_foreign,lng_foreign,country_foreign,iso2_foreign,iso3_foreign,admin_name_foreign,capital_foreign,population_foreign,id_foreign,language,English,Spanish,French,Arabic,German,Italian,Portuguese,Dutch
Los Angeles,Los Angeles,34.1139,-118.4068,United States,US,USA,California,,12815475.0,1840020491,Los Ángeles,-37.46,-72.36,Chile,CL,CHL,Biobío,minor,145239.0,1152810305,['Spanish'],False,True,False,False,False,False,False,False
San Francisco,San Francisco,37.7562,-122.443,United States,US,USA,California,,3603761.0,1840021543,San Francisco,13.7,-88.1,El Salvador,SV,SLV,Morazán,admin,16152.0,1222399599,['Spanish'],False,True,False,False,False,False,False,False
San Francisco,San Francisco,37.7562,-122.443,United States,US,USA,California,,3603761.0,1840021543,San Francisco,-31.43,-62.09,Argentina,AR,ARG,Córdoba,minor,59062.0,1032491643,['Spanish'],False,True,False,False,False,False,False,False
Portland,Portland,45.5371,-122.65,United States,US,USA,Oregon,,2052796.0,1840019941,Portland,-38.34,141.59,Australia,AU,AUS,Victoria,,11808.0,1036439594,['English'],True,False,False,False,False,False,False,False
Portland,Portland,43.6773,-70.2715,United States,US,USA,Maine,,206023.0,1840000327,Portland,-38.34,141.59,Australia,AU,AUS,Victoria,,11808.0,1036439594,['English'],True,False,False,False,False,False,False,False
Portland,Portland,27.8913,-97.328,United States,US,USA,Texas,,17287.0,1840021006,Portland,-38.34,141.59,Australia,AU,AUS,Victoria,,11808.0,1036439594,['English'],True,False,False,False,False,False,False,False
Portland,Portland,36.5883,-86.5194,United States,US,USA,Tennessee,,12020.0,1840014418,Portland,-38.34,141.59,Australia,AU,AUS,Victoria,,11808.0,1036439594,['English'],True,False,False,False,False,False,False,False
Portland,Portland,40.4377,-84.9835,United States,US,USA,Indiana,,5929.0,1840014175,Portland,-38.34,141.59,Australia,AU,AUS,Victoria,,11808.0,1036439594,['English'],True,False,False,False,False,False,False,False
Portland,Portland,42.8696,-84.899,United States,US,USA,Michigan,,5070.0,1840003073,Portland,-38.34,141.59,Australia,AU,AUS,Victoria,,11808.0,1036439594,['English'],True,False,False,False,False,False,False,False
Portland,Portland,41.5988,-72.589,United States,US,USA,Connecticut,,9391.0,1840004915,Portland,-38.34,141.59,Australia,AU,AUS,Victoria,,11808.0,1036439594,['English'],True,False,False,False,False,False,False,False
San Antonio,San Antonio,29.4658,-98.5254,United States,US,USA,Texas,,2002530.0,1840022220,San Antonio,-33.5995,-71.61,Chile,CL,CHL,Valparaíso,minor,104292.0,1152830501,['Spanish'],False,True,False,False,False,False,False,False
San Antonio,San Antonio,29.4658,-98.5254,United States,US,USA,Texas,,2002530.0,1840022220,San Antonio,18.4468,-66.3002,Puerto Rico,PR,PRI,Puerto Rico,,7592.0,1630023733,"['Spanish', 'English']",True,True,False,False,False,False,False,False
