city_ascii,lat_us,lng_us,language,country_foreign,English,Spanish,French,Arabic,German,Italian,Portuguese,Dutch
Aberdeen,35.1351,-79.4319,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Aberdeen,39.5146,-76.173,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Aberdeen,40.4165,-74.2249,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Aberdeen,45.4646,-98.468,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Aberdeen,46.9757,-123.8095,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Ada,34.7686,-96.6689,['Serbian'],['Serbia'],False,False,False,False,False,False,False,False
Ada,40.768,-83.8252,['Serbian'],['Serbia'],False,False,False,False,False,False,False,False
Albany,31.5776,-84.1762,['English'],['Australia'],True,False,False,False,False,False,False,False
Albany,37.8898,-122.3018,['English'],['Australia'],True,False,False,False,False,False,False,False
Albany,42.6664,-73.7987,['English'],['Australia'],True,False,False,False,False,False,False,False
Albany,44.6275,-123.0966,['English'],['Australia'],True,False,False,False,False,False,False,False
Alexandria,31.2923,-92.4702,['Arabic' 'Romanian'],"['Egypt', 'Romania']",False,False,False,True,False,False,False,False
Alexandria,38.8185,-77.0861,['Arabic' 'Romanian'],"['Egypt', 'Romania']",False,False,False,True,False,False,False,False
Alexandria,38.9622,-84.386,['Arabic' 'Romanian'],"['Egypt', 'Romania']",False,False,False,True,False,False,False,False
Alexandria,40.2583,-85.676,['Arabic' 'Romanian'],"['Egypt', 'Romania']",False,False,False,True,False,False,False,False
Alexandria,45.8777,-95.3766,['Arabic' 'Romanian'],"['Egypt', 'Romania']",False,False,False,True,False,False,False,False
Amherst,41.4022,-82.2303,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Amherst,42.3645,-72.5069,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Amherst,42.8705,-71.6068,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Amherst,43.0117,-78.7569,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Amsterdam,42.942,-74.1907,['Dutch'],['Netherlands'],False,False,False,False,False,False,False,True
Athens,32.2041,-95.8321,['Greek'],['Greece'],False,False,False,False,False,False,False,False
Athens,33.9508,-83.3689,['Greek'],['Greece'],False,False,False,False,False,False,False,False
Athens,34.7847,-86.951,['Greek'],['Greece'],False,False,False,False,False,False,False,False
Athens,35.4573,-84.6045,['Greek'],['Greece'],False,False,False,False,False,False,False,False
Athens,39.3269,-82.0987,['Greek'],['Greece'],False,False,False,False,False,False,False,False
Atherton,37.4539,-122.2032,['English'],['Australia'],True,False,False,False,False,False,False,False
Bangor,40.8678,-75.2085,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bangor,44.8322,-68.7906,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bath,42.3363,-77.318,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bath,43.9346,-69.8346,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bedford,32.8464,-97.135,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bedford,37.336,-79.5179,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bedford,38.8602,-86.4895,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bedford,41.225,-73.6678,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bedford,41.3919,-81.5359,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bedford,42.497,-71.2783,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bedford,42.9407,-71.5302,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Belen,34.6803,-106.7875,['Guarani' 'Spanish'],"['Paraguay', 'Argentina']",False,True,False,False,False,False,False,False
Belgrade,45.7796,-111.1751,['Serbian'],['Serbia'],False,False,False,False,False,False,False,False
Bella Vista,36.4667,-94.2707,['Guarani' 'Spanish'],['Paraguay'],False,True,False,False,False,False,False,False
Belleville,38.5165,-89.99,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Belleville,40.795,-74.1616,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Berlin,39.7915,-74.9375,['German'],['Germany'],False,False,False,False,True,False,False,False
Berlin,41.6114,-72.7758,['German'],['Germany'],False,False,False,False,True,False,False,False
Berlin,44.4869,-71.2599,['German'],['Germany'],False,False,False,False,True,False,False,False
Bethlehem,40.6266,-75.3679,"['Afrikaans' 'English' 'Sepedi' 'Sesotho' 'Setswana' 'Tshivenda'
 'Xitsonga' 'isiNdebele' 'isiXhosa' 'isiZulu' 'siSwati']",['South Africa'],True,False,False,False,False,False,False,False
Bethlehem,42.5856,-73.8219,"['Afrikaans' 'English' 'Sepedi' 'Sesotho' 'Setswana' 'Tshivenda'
 'Xitsonga' 'isiNdebele' 'isiXhosa' 'isiZulu' 'siSwati']",['South Africa'],True,False,False,False,False,False,False,False
Birmingham,33.5277,-86.7987,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Birmingham,42.5447,-83.2166,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bogota,40.8751,-74.0293,['Spanish'],['Colombia'],False,True,False,False,False,False,False,False
Bolton,42.4362,-71.6073,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bradford,41.9604,-78.6413,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Brandon,27.9367,-82.3,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Brandon,32.2778,-89.9896,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Brandon,43.5928,-96.5799,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Bremen,33.7086,-85.1498,['German'],['Germany'],False,False,False,False,True,False,False,False
Bridgetown,39.1551,-84.6359,['English'],['Barbados'],True,False,False,False,False,False,False,False
Brighton,39.9716,-104.7964,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Brighton,42.5298,-83.7847,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Brighton,43.1175,-77.5835,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bristol,36.5572,-82.2154,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bristol,36.6179,-82.1607,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bristol,40.1028,-74.853,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bristol,41.6812,-72.9407,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bristol,41.6827,-71.2694,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Bristol,42.5378,-88.0149,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Cairo,30.879,-84.205,['Arabic'],['Egypt'],False,False,False,True,False,False,False,False
Cairo,42.2965,-74.0205,['Arabic'],['Egypt'],False,False,False,True,False,False,False,False
Cambridge,38.5515,-76.0787,['English' 'Maori'],"['United Kingdom', 'New Zealand']",True,False,False,False,False,False,False,False
Cambridge,40.0221,-81.5868,['English' 'Maori'],"['United Kingdom', 'New Zealand']",True,False,False,False,False,False,False,False
Cambridge,42.3759,-71.1185,['English' 'Maori'],"['United Kingdom', 'New Zealand']",True,False,False,False,False,False,False,False
Cambridge,45.5612,-93.2283,['English' 'Maori'],"['United Kingdom', 'New Zealand']",True,False,False,False,False,False,False,False
Carlisle,39.5807,-84.3201,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Carlisle,40.1999,-77.2043,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Carlisle,42.53,-71.3513,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Ceres,37.5953,-120.9625,['Portuguese'],['Brazil'],False,False,False,False,False,False,True,False
Chelmsford,42.6,-71.3631,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Chester,34.705,-81.2132,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Chester,37.3531,-77.4342,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Chester,37.92,-89.826,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
